timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1650011716783,753,Finish/index.html-299,200,OK,contact 5-1,text,true,,5189,516,1,10,https://www.demoblaze.com/index.html,744,0,645
1650011717537,94,Finish/node_modules/jquery/dist/jquery.min.js-301,200,OK,contact 5-1,text,true,,35611,430,1,10,https://www.demoblaze.com/node_modules/jquery/dist/jquery.min.js,56,0,0
1650011717632,58,Finish/css/latostyle.css-300,200,OK,contact 5-1,text,true,,1085,423,1,10,https://www.demoblaze.com/css/latostyle.css,58,0,0
1650011716931,849,Register/login-3,200,OK,register 1-2,text,true,,585,485,4,10,https://api.demoblaze.com/login,848,0,494
1650011716783,997,login/login-261,200,OK,login 2-1,text,true,,495,488,3,10,https://api.demoblaze.com/login,997,0,641
1650011717691,101,Finish/node_modules/videojs-contrib-hls/dist/videojs-contrib-hls.min.js-303,200,OK,contact 5-1,text,true,,72640,456,1,9,https://www.demoblaze.com/node_modules/videojs-contrib-hls/dist/videojs-contrib-hls.min.js,55,0,0
1650011717793,53,Finish/js/index.js-306,200,OK,contact 5-1,text,true,,3009,403,1,9,https://www.demoblaze.com/js/index.js,52,0,0
1650011717177,699,Register/login-3,200,OK,register 1-3,text,true,,531,485,4,9,https://api.demoblaze.com/login,699,0,248
1650011716783,1095,login/login-261,200,OK,invalid login 3-1,text,true,,579,483,1,9,https://api.demoblaze.com/login,1095,0,643
1650011717014,873,login/login-261,200,OK,login 2-2,text,true,,612,484,2,8,https://api.demoblaze.com/login,871,0,413
1650011717846,61,Finish/node_modules/tether/dist/js/tether.min.js-304,200,OK,contact 5-1,text,true,,9272,433,1,7,https://www.demoblaze.com/node_modules/tether/dist/js/tether.min.js,59,0,0
1650011717907,55,Finish/node_modules/bootstrap/dist/js/bootstrap.min.js-305,200,OK,contact 5-1,text,true,,15730,439,1,7,https://www.demoblaze.com/node_modules/bootstrap/dist/js/bootstrap.min.js,51,0,0
1650011716783,1190,Register/login-3,200,OK,register 1-1,text,true,,536,485,4,7,https://api.demoblaze.com/login,1188,0,640
1650011717344,630,login/login-261,200,OK,login 2-3,text,true,,547,488,1,7,https://api.demoblaze.com/login,628,0,93
1650011716783,1197,add to cart/addtocart-55,200,OK,Purchase 4-1,text,true,,307,544,1,6,https://api.demoblaze.com/addtocart,1197,0,643
1650011717428,577,Register/login-3,200,OK,register 1-4,text,true,,670,485,4,6,https://api.demoblaze.com/login,577,0,138
1650011717780,297,Register/signup-315,200,OK,register 1-2,text,true,,604,490,4,6,https://api.demoblaze.com/signup,297,0,0
1650011717876,278,Register/signup-315,200,OK,register 1-3,text,true,,520,485,3,5,https://api.demoblaze.com/signup,278,0,0
1650011717962,268,Finish/node_modules/bootstrap/dist/css/bootstrap.min.css-307,200,OK,contact 5-1,text,true,,28524,455,1,4,https://www.demoblaze.com/node_modules/bootstrap/dist/css/bootstrap.min.css,266,0,0
1650011717980,290,/check-60,200,OK,Purchase 4-1,text,true,,638,471,1,4,https://api.demoblaze.com/check,285,0,0
1650011717973,297,Register/signup-315,200,OK,register 1-1,text,true,,499,489,2,4,https://api.demoblaze.com/signup,297,0,0
1650011718230,56,Finish/node_modules/video.js/dist/video-js.min.css-308,200,OK,contact 5-1,text,true,,12489,449,1,3,https://www.demoblaze.com/node_modules/video.js/dist/video-js.min.css,54,0,0
1650011718005,288,Register/signup-315,200,OK,register 1-4,text,true,,556,490,1,3,https://api.demoblaze.com/signup,285,0,0
1650011718287,98,Finish/node_modules/video.js/dist/video.min.js-302,200,OK,contact 5-1,text,true,,160398,431,1,2,https://www.demoblaze.com/node_modules/video.js/dist/video.min.js,54,0,0
1650011718385,53,Finish/css/latofonts.css-309,200,OK,contact 5-1,text,true,,1396,423,1,2,https://www.demoblaze.com/css/latofonts.css,53,0,0
1650011718439,60,Finish/Samsung1.jpg-310,200,OK,contact 5-1,bin,true,,27679,425,1,2,https://www.demoblaze.com/Samsung1.jpg,59,0,0
1650011718270,305,/view-76,200,OK,Purchase 4-1,text,true,,940,452,1,2,https://api.demoblaze.com/view,305,0,0
1650011718500,75,Finish/imgs/front.jpg-314,200,OK,contact 5-1,bin,true,,24949,427,1,2,https://www.demoblaze.com/imgs/front.jpg,51,0,0
1650011718575,258,Finish/nexus1.jpg-312,200,OK,contact 5-1,bin,true,,34140,423,1,2,https://www.demoblaze.com/nexus1.jpg,255,0,0
1650011718834,52,Finish/bm.png-311,200,OK,contact 5-1,bin,true,,4263,419,1,2,https://www.demoblaze.com/bm.png,52,0,0
1650011718575,334,/check-77,200,OK,Purchase 4-1,text,true,,508,471,1,2,https://api.demoblaze.com/check,324,0,0
1650011718886,62,Finish/iphone1.jpg-313,200,OK,contact 5-1,bin,true,,34899,424,1,2,https://www.demoblaze.com/iphone1.jpg,60,0,0
1650011718909,270,add to cart/addtocart-79,200,OK,Purchase 4-1,text,true,,449,481,1,2,https://api.demoblaze.com/addtocart,270,0,0
1650011718948,249,Finish/config.json-315,200,OK,contact 5-1,text,true,,642,476,1,2,https://www.demoblaze.com/config.json,249,0,0
1650011719179,337,add to cart/addtocart-80,200,OK,Purchase 4-1,text,true,,307,544,1,2,https://api.demoblaze.com/addtocart,337,0,0
1650011719198,364,Finish/check-316,200,OK,contact 5-1,text,true,,449,477,1,2,https://api.demoblaze.com/check,364,0,103
1650011719517,284,/view-99,200,OK,Purchase 4-1,text,true,,773,452,1,2,https://api.demoblaze.com/view,284,0,0
1650011719563,307,Finish/entries-317,200,OK,contact 5-1,text,true,,1466,392,1,2,https://api.demoblaze.com/entries,304,0,0
1650011719802,297,/check-100,200,OK,Purchase 4-1,text,true,,693,471,1,2,https://api.demoblaze.com/check,297,0,0
1650011719871,418,Finish/imgs/Nexus_6.jpg-321,200,OK,contact 5-1,bin,true,,232097,429,1,2,https://www.demoblaze.com/imgs/Nexus_6.jpg,257,0,0
1650011720289,78,Finish/imgs/galaxy_s6.jpg-319,200,OK,contact 5-1,bin,true,,107733,431,1,2,https://www.demoblaze.com/imgs/galaxy_s6.jpg,64,0,0
1650011720100,274,add to cart/addtocart-102,200,OK,Purchase 4-1,text,true,,449,481,1,2,https://api.demoblaze.com/addtocart,274,0,0
1650011720368,135,Finish/imgs/HTC_M9.jpg-324,200,OK,contact 5-1,bin,true,,97234,428,1,2,https://www.demoblaze.com/imgs/HTC_M9.jpg,117,0,0
1650011720375,306,add to cart/addtocart-103,200,OK,Purchase 4-1,text,true,,307,544,1,2,https://api.demoblaze.com/addtocart,306,0,0
1650011720503,299,Finish/check-318,200,OK,contact 5-1,text,true,,719,471,1,2,https://api.demoblaze.com/check,297,0,0
1650011720681,264,/check-105,200,OK,Purchase 4-1,text,true,,449,477,1,2,https://api.demoblaze.com/check,264,0,0
1650011720803,289,Finish/imgs/Lumia_1520.jpg-320,200,OK,contact 5-1,bin,true,,145514,432,1,2,https://www.demoblaze.com/imgs/Lumia_1520.jpg,268,0,0
1650011720946,297,/entries-106,200,OK,Purchase 4-1,text,true,,1500,392,1,2,https://api.demoblaze.com/entries,297,0,0
1650011721093,273,Finish/imgs/sony_vaio_5.jpg-325,200,OK,contact 5-1,bin,true,,90771,433,1,2,https://www.demoblaze.com/imgs/sony_vaio_5.jpg,264,0,0
1650011721243,331,/check-108,200,OK,Purchase 4-1,text,true,,629,471,1,2,https://api.demoblaze.com/check,330,0,0
1650011721366,279,Finish/imgs/xperia_z5.jpg-323,200,OK,contact 5-1,bin,true,,143968,431,1,2,https://www.demoblaze.com/imgs/xperia_z5.jpg,270,0,0
1650011721646,290,Finish/imgs/iphone_6.jpg-322,200,OK,contact 5-1,bin,true,,201243,430,1,2,https://www.demoblaze.com/imgs/iphone_6.jpg,258,0,0
1650011721577,425,openingcart/cart.html-109,200,OK,Purchase 4-1,text,true,,5915,510,1,1,https://www.demoblaze.com/cart.html,420,0,121
1650011722004,80,openingcart/node_modules/bootstrap/dist/css/bootstrap.min.css-110,200,OK,Purchase 4-1,text,true,,28323,428,1,1,https://www.demoblaze.com/node_modules/bootstrap/dist/css/bootstrap.min.css,56,0,0
