timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1650011314888,60,deleting item/node_modules/jquery/dist/jquery.min.js-146,200,OK,Purchase 4-1,text,true,,35764,429,1,1,https://www.demoblaze.com/node_modules/jquery/dist/jquery.min.js,59,0,0
1650011314948,72,deleting item/node_modules/video.js/dist/video.min.js-148,200,OK,Purchase 4-1,text,true,,159971,430,1,1,https://www.demoblaze.com/node_modules/video.js/dist/video.min.js,61,0,0
1650011315021,52,deleting item/css/latofonts.css-149,200,OK,Purchase 4-1,text,true,,1363,422,1,1,https://www.demoblaze.com/css/latofonts.css,52,0,0
1650011315073,66,deleting item/node_modules/videojs-contrib-hls/dist/videojs-contrib-hls.min.js-150,200,OK,Purchase 4-1,text,true,,72628,455,1,1,https://www.demoblaze.com/node_modules/videojs-contrib-hls/dist/videojs-contrib-hls.min.js,62,0,0
1650011315138,250,deleting item/node_modules/tether/dist/js/tether.min.js-151,200,OK,Purchase 4-1,text,true,,9255,432,1,1,https://www.demoblaze.com/node_modules/tether/dist/js/tether.min.js,249,0,0
1650011315388,259,deleting item/node_modules/bootstrap-sweetalert/dist/sweetalert.min.js-153,200,OK,Purchase 4-1,text,true,,16949,447,1,1,https://www.demoblaze.com/node_modules/bootstrap-sweetalert/dist/sweetalert.min.js,257,0,0
1650011315647,260,deleting item/node_modules/bootstrap/dist/js/bootstrap.min.js-152,200,OK,Purchase 4-1,text,true,,15441,438,1,1,https://www.demoblaze.com/node_modules/bootstrap/dist/js/bootstrap.min.js,259,0,0
1650011315908,251,deleting item/js/cart.js-154,200,OK,Purchase 4-1,text,true,,9443,401,1,1,https://www.demoblaze.com/js/cart.js,251,0,0
1650011316159,50,deleting item/bm.png-155,200,OK,Purchase 4-1,bin,true,,4267,418,1,1,https://www.demoblaze.com/bm.png,50,0,0
1650011316209,254,deleting item/config.json-156,200,OK,Purchase 4-1,text,true,,468,475,1,1,https://www.demoblaze.com/config.json,254,0,0
1650011316463,262,deleting item/check-157,200,OK,Purchase 4-1,text,true,,449,477,1,1,https://api.demoblaze.com/check,262,0,0
1650011316726,271,deleting item/viewcart-158,200,OK,Purchase 4-1,text,true,,449,480,1,1,https://api.demoblaze.com/viewcart,271,0,0
1650011316997,279,deleting item/check-159,200,OK,Purchase 4-1,text,true,,639,471,1,1,https://api.demoblaze.com/check,279,0,0
1650011317276,310,deleting item/viewcart-160,200,OK,Purchase 4-1,text,true,,655,487,1,1,https://api.demoblaze.com/viewcart,309,0,0
1650011317586,268,deleting item/view-161,200,OK,Purchase 4-1,text,true,,449,476,1,1,https://api.demoblaze.com/view,268,0,0
1650011317854,261,deleting item/view-162,200,OK,Purchase 4-1,text,true,,449,476,1,1,https://api.demoblaze.com/view,261,0,0
1650011318116,274,deleting item/view-163,200,OK,Purchase 4-1,text,true,,449,476,1,1,https://api.demoblaze.com/view,274,0,0
1650011318390,275,deleting item/view-166,200,OK,Purchase 4-1,text,true,,628,449,1,1,https://api.demoblaze.com/view,270,0,0
